project,source,role,leads_mar,leads_feb,leads_jan,leads_dec,qualified_mar,qualified_feb,qualified_jan,qualified_dec,cr_qualified_mar,cr_qualified_feb,cr_qualified_jan,cr_qualified_dec,presentations_mar,presentations_feb,presentations_jan,presentations_dec,cr_presentations_mar,cr_presentations_feb,cr_presentations_jan,cr_presentations_dec,skype_mar,skype_feb,skype_jan,skype_dec,cr_skype_mar,cr_skype_feb,cr_skype_jan,cr_skype_dec,calls_mar,calls_feb,calls_jan,calls_dec,cr_calls_mar,cr_calls_feb,cr_calls_jan,cr_calls_dec
Сеосейлс,Заявки с сайта,ТЛ,3,0,0,0,3,0,0,0,100,0,0,0,2,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,67,0,0,0
Сеосейлс,Каталог Топфранчайз,МОП,3,5,0,0,2,3,0,0,67,60,0,0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0,2,2,0,0,67,40,0,0
Сеосейлс,Каталог Франшиз Бизнесменс.ру,МОП,126,155,0,0,90,132,0,0,71,85,0,0,16,7,0,0,18,5,0,0,10,5,0,0,11,4,0,0,51,84,0,0,40,54,0,0
Сеосейлс,Таргет ВК,МОП,594,687,0,0,545,668,0,0,92,97,0,0,53,43,0,0,10,6,0,0,39,29,0,0,7,4,0,0,340,477,0,0,57,69,0,0
Сеосейлс,Автодозвон,МОП,40,381,0,0,31,356,0,0,78,93,0,0,3,30,0,0,10,8,0,0,2,17,0,0,6,5,0,0,19,236,0,0,48,62,0,0
Сеосейлс,Автозвонок,МОП,981,1156,0,0,701,1022,0,0,71,88,0,0,39,33,0,0,6,3,0,0,28,20,0,0,4,2,0,0,479,676,0,0,49,58,0,0
Kineiro,Заявки с сайта,МОП,7,1,0,2,5,1,0,1,71,100,0,50,0,1,0,0,0,100,0,0,0,1,0,0,0,100,0,0,4,1,0,1,57,100,0,50
Kineiro,Заявки с сайта,СМОП,15,9,10,2,10,7,9,2,67,78,90,100,3,4,5,1,30,57,56,50,1,1,1,0,10,14,11,0,5,6,6,2,33,67,60,100
Kineiro,Заявки с сайта,ТЛ,54,27,27,19,33,22,21,15,61,81,78,79,10,9,7,4,30,41,33,27,8,7,4,1,24,32,19,7,26,18,15,12,48,67,56,63
Kineiro,Каталог Франшиз Бизнесменс.ру,МОП,36,57,14,60,28,55,14,58,78,96,100,97,2,5,7,9,7,9,50,16,2,5,3,6,7,9,21,10,13,27,7,35,36,47,50,58
Kineiro,Каталог Франшиз Бизнесменс.ру,СМОП,182,173,177,98,123,134,153,86,68,77,86,88,32,36,38,23,26,27,25,27,11,6,4,5,9,4,3,6,83,98,101,64,46,57,57,65
Kineiro,Каталог Франшиз Бизнесменс.ру,ТЛ,542,529,720,460,381,422,638,399,70,80,89,87,70,68,95,95,18,16,15,24,36,44,57,38,9,10,9,10,253,259,403,286,47,49,56,62
Kineiro,Таргет ВК,МОП,1739,1217,788,754,1540,1154,719,702,89,95,91,93,128,118,51,39,8,10,7,6,86,76,37,33,6,7,5,5,984,756,457,427,57,62,58,57
Kineiro,Таргет ВК,СМОП,89,237,163,347,81,220,152,325,91,93,93,94,11,25,25,66,14,11,16,20,0,6,3,23,0,3,2,7,50,127,90,239,56,54,55,69
Kineiro,Таргет ВК,ТЛ,454,482,216,438,398,453,199,424,88,94,92,97,34,34,20,46,9,8,10,11,20,20,13,20,5,4,7,5,262,287,128,294,58,60,59,67
Kineiro,E-mail маркетинг,МОП,37,30,55,17,31,29,53,11,84,97,96,65,4,1,5,1,13,3,9,9,4,0,4,1,13,0,8,9,21,25,32,9,57,83,58,53
Kineiro,E-mail маркетинг,СМОП,30,29,15,26,27,24,9,25,90,83,60,96,9,8,3,5,33,33,33,20,2,1,0,2,7,4,0,8,21,16,13,21,70,55,87,81
Kineiro,E-mail маркетинг,ТЛ,49,31,24,109,42,24,22,95,86,77,92,87,15,8,6,22,36,33,27,23,3,3,0,10,7,13,0,11,27,22,16,70,55,71,67,64
Kineiro,E-mail AI маркетинг,МОП,44,159,174,0,38,156,163,0,86,98,94,0,1,22,19,0,3,14,12,0,1,19,13,0,3,12,8,0,31,102,113,0,70,64,65,0
Kineiro,E-mail AI маркетинг,СМОП,57,61,16,0,51,56,16,0,89,92,100,0,7,12,2,0,14,21,13,0,0,2,0,0,0,4,0,0,39,43,10,0,68,70,63,0
Kineiro,E-mail AI маркетинг,ТЛ,85,102,30,0,71,93,29,0,84,91,97,0,7,14,6,0,10,15,21,0,5,6,2,0,7,6,7,0,59,73,26,0,69,72,87,0
Kineiro,Автодозвон,МОП,257,2232,2188,2200,191,1880,2013,1973,74,84,92,90,28,143,150,147,15,8,7,7,19,88,98,90,10,5,5,5,154,1352,1467,1593,60,61,67,72
Kineiro,Автозвонок,МОП,6904,2586,4476,4276,4394,2058,3720,3556,64,80,83,83,430,175,254,250,10,9,7,7,249,94,175,142,6,5,5,4,3388,1310,2338,2444,49,51,52,57
Kineiro,ИИ ТМ,МОП,0,467,0,197,0,410,0,178,0,88,0,90,1,32,0,17,0,8,0,10,1,16,0,15,0,4,0,8,0,371,0,138,0,79,0,70
